A5r,A8l,A3r,A7r,A6r,A4l,A5l,A3l,A7l,A6l,A4r,A8r,A2l,A2r
0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734,0.05482074153185734
0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158,0.05447442482942158
0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326,0.052510502949778326
0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185,0.05034962405960185
0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164,0.04940516377958164
0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859,0.04876990911641859
0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055,0.048169698302650055
0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292,0.04763738686608292
0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541,0.04732776862349541
0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063,0.04616299499473063
0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505,0.04462874082895505
0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238,0.04158202695074238
0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881,0.03824433710291881
0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047,0.03329723098065047
0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685,0.028432056456288685
0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469,0.02297219845921469
0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409,0.01984668578615409
0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295,0.016965250282044295
0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599,0.014844444783236599
0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615,0.012709695754838615
0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802,0.010646251720819802
0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533,0.008673493183819533
0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714,0.005924326170802714
0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386,0.0037384949341735386
0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618,0.0022511672405950618
0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733,0.001567311908073733
0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082,0.001229345896189082
0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716,0.0006656369760432716
-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036,-0.0004766708933724036
-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426,-0.0014370583422629426
-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996,-0.002485842658920996
