A5r,A8l,A3r,A7r,A6r,A4l,A5l,A3l,A7l,A6l,A4r,A8r,A2l,A2r
-0.20982892063050318,-0.002476856281073832,-0.10059182934330421,-0.05349356718149561,-0.13478283905635813,-0.10211123821877748,-0.1612882136302315,-0.03149955263672704,-0.11248564295578864,-0.10728022349338391,-0.059136095283396625,-0.03768100901336157,-0.10712859815372026,0.08945241177543362
-0.18174874785424286,-0.021967689661612503,-0.1082349482817228,-0.02565080282661449,-0.08988935410616045,-0.0868153104194812,-0.14246813542137307,-0.0452091135658073,-0.0812575125872467,-0.104095671450154,-0.04852700114791586,-0.030067532250405385,-0.10169546402481894,0.2162349425501697
-0.07181447974262957,-0.02054042905286882,-0.007246967119170635,-0.10985528419415583,-0.02309795747833888,-0.12159632623226455,-0.10734846244629981,-0.03974188859504008,-0.16467949963156467,-0.09057321802318508,-0.1177537545663454,-0.04856407712408163,-0.13340251104472942,0.0722062040031005
-0.2698040964471692,-0.023579569238644967,-0.12148493012667541,-0.023550872290321316,-0.11965375375646709,-0.12273083456301767,-0.14137352553797441,-0.041398009798283224,-0.1974033620619139,-0.10194986246523166,-0.02681947102028252,-0.030317728296644864,-0.032209588357305884,-0.07129223695602607
-0.16256120498891655,-0.023660247693841813,-0.04327725176091532,-0.06694601956461349,-0.08179175851285149,-0.13594665588741572,-0.11642016752352959,-0.1560891962128184,-0.09451308464031793,0.008719183729621898,-0.07895516461402409,-0.006791510861391402,-0.034154735124274006,0.01848460209386504
-0.06343231798435352,0.00045563029331770525,0.08853821269850584,-0.04691403125006512,-0.06544547360106837,-0.10706412743374301,-0.15900987921716103,-0.10609666792044899,-0.06825422417679412,-0.09643749164066558,0.03175753342138674,-0.056976269681593555,-0.12388275522549537,0.04526552417696738
-0.2125455901714236,-0.07161814831705321,-0.06949970775093108,-0.023706090906451552,-0.060248184934896726,-0.11349425327558542,-0.08026415503937968,-0.10595282724590026,-0.08722229558699447,-0.020327201762020863,0.019568131889941692,-0.0374887710615397,-0.05510342142144007,0.041379760582509716
-0.09238767950475273,-0.07463075376773191,-0.08885249228931742,-0.05955912283251105,-0.11687245750637384,-0.10944783340943662,-0.16727551863317872,-0.060275898222673256,-0.1179690365418822,-0.02095180938103,-0.1649661835985997,-0.08477156450738459,-0.08408328855201329,0.025368067468118823
-0.06251132425363694,-0.10408997682409933,-0.12351350112843,-0.06515870314977848,-0.07592171731712953,-0.10309670876259293,-0.14521929459218622,-0.14257395331510067,-0.15276907134364245,-0.006940480756993549,-0.12152034024751306,-0.02924830632873167,-0.07258944384170228,0.13284330724122215
-0.10231712791503572,-0.09025497083479313,-0.061742946155107246,-0.010612860018614181,-0.03408113250100857,-0.1158851588739445,-0.1501014494646735,-0.08952463110188674,-0.17196610434578627,-0.024882191955778475,-0.015154634431062025,-0.046982720524621206,-0.10643908817325817,0.08311104869581062
-0.08926564758405707,0.007058333251646559,-0.011979230268112569,-0.14022136593013682,-0.01825139099647182,-0.16677108414401745,-0.1535702455989472,-0.08054987319914624,-0.07012738560041623,-0.10185519476836231,-0.09373836252717886,-0.08785943111021756,-0.04605130655656426,0.19587471207266258
-0.05694306217513388,-0.004955687957898471,0.1300427947200428,-0.11179968049812589,-0.10122102982049598,-0.09845367915124573,-0.12377784733530436,-0.09157571094473262,-0.1904487899323121,-0.008621517212060927,-0.09001516252697503,-0.07392959468599557,-0.044438104263645126,0.07067962391183313
